GR_2,PHS_1,SH_1,FLA_1,FLA_2,FLF_2,GLA3_1,GLA4_1,GLA6_1,GLA7_1,GLA9_1,GLA10_1,GLA1_2,GLA2_2,GLA3_2,GLA5_2,GLA6_2,GLA7_2,GLA8_2,GLA9_2,GLA10_2,FLS_2,GS39_1,GS55_1,GS65_1,GS39_2,GS55_2,GS65_2,JGH_1,JGH_2,JGH_N,GY_1,GY_2,LOD_1,HET_1,HET_2,HFLB_1,HFLB_2,FLED_1,FLED_2,EL_1,EL_2,ETA_1,FLL_1,FLL_2,FLW_1,FLW_2,BIS_1,TS_1,EW_1,GA_1,GA_2,GL_1,GL_2,GW_1,GW_2,TGW_1,TGW_2,SW_1,GPC_1,GPC_2,LGLAU_1,GLAU_1,GLAU_2,AWN_1,PIG_1,PIG_2,SPIG_2,YR_1,YR_2,YR_N
0.956284463,1.0,0,5.178097094,5.371,0.6058435390580892,0.652880486,1.868766983,5.09843015,23.31828029,34.6098735,43.35374416,1.656,12.76,8.67,17.51,19.23,22.18,36.38,45.86,57.23,6.7,214.7364738,222.0429693,229.0870179,215.0,228.0,235.8,3.37466892,4.578,7.0,6.713490029,7.087,2.515029371,69.97993107,67.16,47.1883493,45.85,13.12245386,16.3,9.50795818,8.85,5.0,114.0621757,169.7,15.53029101,16.61,0.785044353,19.36293256,3.21961132,17.09624616,15.68,6.305549471,6.098,3.582295572,3.387,43.48650422,44.43,93.83026982,12.68049988,9.394572897,4.885904476,3.619061567,3.239,0,4.620353451,0.0,0.0,1.979888888888889e-13,1.895,0.0
,2.0,0,3.513815361,4.006,0.6276730317666159,0.944009159,2.522205689,7.606815735,28.99569176,34.23767826,37.61393556,1.663,10.82,6.87,16.01,23.06,26.44,47.57,48.68,54.24,3.463,214.7428077,223.953603,229.1379661,220.7,230.9,238.0,3.878716904,6.861,7.0,6.97456564,7.745,-0.237722587,51.07838898,49.97,37.87848554,37.09,5.766048984,8.67,7.706780988,6.959,3.0,104.7748498,159.0,14.49433732,13.79,0.427448037,19.96626673,2.809349867,15.96787,14.82,6.270564738,6.066,3.40514207,3.273,36.6613566,38.99,91.65179565,12.05045818,8.241196587,6.176177958,4.34633472,4.258,0,0.740774945,0.0,0.0,2.0168888888888892e-13,1.351,0.0
0.711751908,1.0,0,4.320016431,3.009,0.6032526619816468,1.103024731,2.748807692,12.21272051,29.01809636,32.36515081,36.35278405,2.154,14.66,11.98,22.44,22.83,30.83,42.12,45.0,53.75,4.972,211.2122452,222.0288569,226.0878961,214.0,227.5,232.3,3.556143996,4.157,8.0,7.515211799,6.753,3.435167559,79.94134147,84.92,54.80220432,60.1,16.65361581,19.9,8.675795984,8.702,5.0,120.037963,179.7,15.58017203,16.31,0.441403776,19.84568309,3.148356287,18.60506879,16.69,6.507954617,6.299,3.83167397,3.546,49.59911402,46.59,99.52082608,12.94129107,9.629202208,4.569926223,3.929607588,4.308,0,1.103113803,0.0,0.0,1.9865555555555562e-13,1.868,0.3010299956639812
1.163868759,3.0,0,6.231844961,5.736,0.6049816296074316,1.581160312,2.801996415,9.606929246,36.68277625,44.19654953,42.01710774,2.866,15.6,13.35,26.52,25.45,29.32,45.57,48.83,59.93,4.816,213.3882428,222.8015052,225.9146917,215.9,227.9,232.7,5.33338486,4.347,8.0,7.520847686,6.122,2.419563294,67.17585725,70.18,47.30073083,51.39,11.80491219,15.61,7.730172433,8.463,3.0,126.6285986,172.4,15.01270407,15.88,0.281272189,18.53808507,3.00083803,18.39414933,15.76,6.583935965,6.044,3.736132052,3.422,45.72949524,43.75,102.0806308,13.06499786,10.02242124,5.619132024,3.576916702,3.078,0,6.898005256,0.0,0.0,0.333333333333432,1.373,0.0
,2.0,0,4.842727616,4.967,0.5356738034257501,1.061689559,3.772593691,8.387927215,28.40235048,43.47159334,46.21309913,2.311,18.34,11.81,24.99,22.2,27.09,46.02,52.05,60.15,6.437,214.5167139,224.0431302,229.9769925,217.8,227.9,234.1,4.991411599,6.083,7.0,7.200965665,5.897,0.198629346,66.47081078,71.59,51.75596708,49.82,7.827952822,17.2,7.458069802,8.544,2.0,143.6351834,211.1,15.99434966,15.85,0.485214882,21.76958444,3.420103791,19.28723725,17.22,6.957043254,6.556,3.652674857,3.392,45.51555266,45.07,95.64385562,12.77251483,9.652026445,5.753654984,5.226155493,6.525,0,0.038574288,0.0,0.0,3.0,5.075,0.0
1.084679298,3.0,1,7.985960974,7.135,0.8920946026904804,1.28316504,3.912317448,12.42878854,31.73957339,33.3053923,38.13084453,2.022,12.21,9.43,24.42,23.45,29.03,46.48,50.6,59.94,3.135,207.1624362,218.1603894,224.5118398,207.0,219.9,228.1,2.69725106,6.294,3.0,5.399102358,6.494,1.166264005,50.24741821,52.63,32.52770436,33.69,9.701958597,12.8,8.098683016,9.221,7.0,143.3146577,180.6,14.39949733,16.59,0.586527173,19.69594914,2.824632452,17.78086944,15.51,6.473495059,6.199,3.613428347,3.288,42.90081229,39.28,98.72431825,13.59887979,9.485650701,7.300977346,6.791064525,8.271,0,2.120160316,0.5,2.5,3.333333333333432,3.223,0.0
1.034544608,0.0,1,4.928966507,5.477,0.6497241859295224,0.880125882,3.00455625,7.192906964,27.70696668,39.28399916,37.26778534,1.954,16.38,11.12,24.12,24.37,28.6,43.38,45.92,60.35,4.337,213.4822386,222.8254,230.090622,215.2,228.1,234.5,4.503548216,5.453,6.0,6.834737837,6.553,2.186095642,78.39184708,77.07,55.54450332,51.38,12.40905045,19.4,10.61778516,11.418,7.0,119.5587466,196.2,15.2204253,16.26,0.934745812,23.56920294,3.355168049,18.35065778,17.33,6.934443311,6.703,3.526082891,3.377,42.17679344,44.0,91.54335391,12.78575396,9.193847126,6.048055008,6.026390062,6.865,0,-0.104348593,0.0,1.0,5.0,2.954,0.0
1.304168369,5.0,0,3.04285952,5.98,0.6492374723496073,0.553283999,2.144294548,6.541865104,27.27382542,34.72996036,37.13501043,1.609,12.78,8.92,19.98,20.16,25.25,41.71,43.7,55.27,3.929,212.2150191,221.2868465,225.8715037,214.8,226.9,232.5,3.31171261,3.97,7.0,6.396511136,6.054,1.62440362,79.18065177,89.05,54.20843591,60.53,15.09930452,22.86,9.819620706,10.118,5.0,115.441405,178.4,15.22291275,14.84,-0.04882127,21.59271567,3.156503943,17.02809267,15.05,6.394042001,5.964,3.531863257,3.262,41.31751958,38.9,91.41900258,12.72409426,9.315363419,4.623788848,4.582920211,7.269,0,0.156027688,0.0,0.0,0.6666666666667639,2.172,0.0
0.805636125,8.0,0,2.891656474,2.956,0.6340740254874684,0.815527251,2.442475464,4.724333757,21.80763539,32.21172582,34.53436136,2.058,9.94,7.53,20.39,21.55,26.56,38.77,37.05,47.9,5.182,215.205922,223.466807,229.0480348,216.0,228.0,234.0,3.733183784,4.103,8.0,7.31937911,7.529,2.500613868,68.73121957,81.99,46.00566277,56.46,14.0790633,21.52,8.651415912,8.999,5.0,130.3602085,188.8,14.75967003,13.95,0.32150621,19.14229445,2.858742533,18.17972021,15.59,6.642456749,6.111,3.681762144,3.358,43.90016089,43.12,97.76636805,12.1004601,8.233292031,5.662261178,4.523061968,4.285,0,0.364557621,0.0,0.0,2.0142222222222225e-13,4.697,0.4771212547196624
,0.0,0,4.487516493,3.481,0.3836358683618797,0.701760272,2.671079845,2.821594864,17.69303593,28.89851649,29.46028674,0.913,11.42,4.38,13.57,17.24,20.61,34.12,35.6,43.44,1.659,203.7212965,214.9908441,222.9060067,208.7,220.0,228.1,2.00119703,3.83,5.0,5.337354349,6.505,-0.038062231,48.76114869,47.73,28.66109965,31.16,11.15103791,12.0,9.025573513,8.265,7.0,119.3204388,154.4,12.79909702,12.33,1.304782158,17.94581162,1.981226783,16.39169708,15.09,6.297860742,6.212,3.468199179,3.214,39.51669352,36.07,95.49416984,14.3541567,9.491860362,7.883078709,8.368772016,6.222,0,0.632104981,0.0,0.0,0.6666666666667656,4.691,0.3010299956639812
